No,Date en,Date,チーム,Opp,対戦相手,W/L,得点,失点,イニング,ゲーム差,勝投手,負投手,セーブ,試合時間,観客数,連勝（連敗）,打席数,ヒット数,二塁打数,三塁打数,ホームラン数,打点,,GAME,Name,OPP,SCORE,打席数,ヒット,2塁打,３塁打,ホームラン,打点,四球,デッドボール,三振,盗塁,盗塁失敗,打順,第1,第2,第3,第4,第5,第6,第7
20,"Tuesday, Apr 16",4月16日,LAD,Washington NationalsWSHW,ナショナルズ,W,6,2,,up 1.0,Yarbrough,Corbin,,2:26,"52,718",+,34,13,3,0,1,5,,4月16日,Ohtani,WSHWSH,W,5,2,0,0,0,0,0,0,0,0,0,2指,左安,二ゴ,二ゴ,中飛,三安,,
21,"Wednesday, Apr 17",4月17日,LAD,Washington NationalsWSHL,ナショナルズ,L,0,2,,up 1.0,Irvin,Knack,Finnegan,2:16,"44,428",-,31,5,2,0,0,0,,4月17日,Ohtani,WSHWSH,L,4,3,0,0,0,0,0,0,0,1,0,2指,右安,左飛,右安,中安,,,
22,"Friday, Apr 19",4月19日,LAD,New York MetsNYML,メッツ,L,4,9,,up 1.0,Garrett,Hudson,,3:03,"44,783",--,34,6,2,0,0,4,,4月19日,Ohtani,NYMNYM,L,4,1,0,0,0,1,1,0,1,1,0,2指,ニゴ,四球,右安,空振,ニゴ,,
23,"Saturday, Apr 20",4月20日,LAD,New York MetsNYML,メッツ,L,4,6,,up 1.0,Tonkin,Yarbrough,Garrett,3:20,"45,373",---,31,6,2,0,0,4,,4月20日,Ohtani,NYMNYM,L,2,1,1,0,0,0,3,0,1,0,0,2指,四球,四球,右2,空振,四球,,
24,"Sunday, Apr 21",4月21日,LAD,New York MetsNYMW,メッツ,W,10,0,,up 1.0,Glasnow,Houser,,2:18,"49,287",+,32,9,4,0,2,10,,4月21日,Ohtani,NYMNYM,W,3,2,0,0,1,2,1,0,1,0,0,2指,空振,右本,投安,四球,,,
25,"Tuesday, Apr 23",4月23日,LAD,Washington Nationals@WSHW,ナショナルズ,W,4,1,,up 1.5,Vesia,Harvey,Phillips,3:10,"27,806",++,35,9,2,0,1,4,,4月23日,Ohtani,WSHWSH,W,4,1,0,0,1,1,1,0,0,0,0,2指,二ゴ,中直,中飛,四球,右本,,
26,"Wednesday, Apr 24",4月24日,LAD,Washington Nationals@WSHW,ナショナルズ,W,11,2,,up 1.5,Knack,Irvin,,2:40,"26,298",+++,46,20,8,0,1,11,,4月24日,Ohtani,WSHWSH,W,6,3,3,0,0,2,0,0,1,0,0,2指,中2,一併,空振,中飛,右2,中2,
27,"Thursday, Apr 25",4月25日,LAD,Washington Nationals@WSHW,ナショナルズ,W,2,1,,up 2.5,Yamamoto,Gore,Phillips,2:36,"24,185",++++,32,9,2,0,1,2,,4月25日,Ohtani,WSHWSH,W,4,0,0,0,0,0,0,0,2,0,0,2指,空振,空振,二併,三直,,,
28,"Friday, Apr 26",4月26日,LAD,Toronto Blue Jays@TORW,ブルージェイズ,W,12,2,,up 3.5,Stone,Bassitt,,2:39,"39,688",+++++,43,19,2,0,3,11,,4月26日,Ohtani,TORTOR,W,4,1,0,0,1,1,1,0,0,0,0,2指,右本,四球,一ゴ,投ゴ,二ゴ,,
29,"Saturday, Apr 27",4月27日,LAD,Toronto Blue Jays@TORW,ブルージェイズ,W,4,2,,up 4.5,Glasnow,Kikuchi,Phillips,2:49,"39,405",++++++,37,11,2,1,0,4,,4月27日,Ohtani,TORTOR,W,5,1,0,0,0,1,0,0,1,0,0,2指,二ゴ,右安,空振,二失,左飛,,
30,"Sunday, Apr 28",4月28日,LAD,Toronto Blue Jays@TORL,ブルージェイズ,L,1,3,,up 3.5,Gausman,Grove,Romano,2:20,"39,053",-,33,6,4,0,1,1,,4月28日,Ohtani,TORTOR,L,4,0,0,0,0,0,0,0,1,0,0,2指,中飛,二直,三振,二飛,,,
31,"Monday, Apr 29",4月29日,LAD,Arizona Diamondbacks@AZW,ダイヤモンドバックス,W,8,4,,up 4.0,Paxton,Henry,,2:50,"36,985",+,34,10,4,0,1,8,,4月29日,Ohtani,ARIARI,W,4,2,0,0,0,1,1,0,0,0,0,2指,中安,二併,四球,遊ゴ,左安,,
32,"Tuesday, Apr 30",4月30日,LAD,Arizona Diamondbacks@AZL,ダイヤモンドバックス,L-wo,3,4,10,up 4.0,McGough,Crismatt,,2:47,"28,667",-,33,5,2,0,0,1,,4月30日,Ohtani,ARIARI,L,5,1,0,0,0,0,0,0,3,0,0,2指,中安,見振,空振,空振,二ゴ,,
33,"Wednesday, May 1",5月1日,LAD,Arizona Diamondbacks@AZW,,W,8,0,,up 4.5,Yamamoto,Montgomery,,2:49,"34,088",+,35,10,2,0,2,8,,5月1日,Ohtani,,,,,,,,,,,,,,,,,,,,,
34,"Friday, May 3",5月3日,LAD,Atlanta BravesATLW,ブレーブス,W-wo,4,3,11,up 4.5,Grove,Chavez,,3:00,"50,859",++,37,9,1,0,1,4,,5月3日,Ohtani,ATLATL,W,3,1,0,0,0,1,2,0,1,2,0,2指,一ゴ,四球,空振,四球,中安,,
35,"Saturday, May 4",5月4日,LAD,Atlanta BravesATLW,ブレーブス,W,11,2,,up 4.5,Glasnow,Elder,,2:24,"44,474",+++,39,16,0,1,5,11,,5月4日,Ohtani,ATLATL,W,5,3,0,0,1,2,0,0,1,0,0,2指,空振,右本,左安,左飛,中安,,
36,"Sunday, May 5",5月5日,LAD,Atlanta BravesATLW,ブレーブス,W,5,1,,up 5.5,Paxton,Fried,,2:07,"52,733",++++,29,5,0,0,3,5,,5月5日,Ohtani,ATLATL,W,4,4,0,0,2,3,0,0,0,0,0,2指,中本,左安,中安,中本,,,
37,"Monday, May 6",5月6日,LAD,Miami MarlinsMIAW,マーリンズ,W,6,3,,up 5.5,Yarbrough,Mu?oz,Vesia,2:19,"44,970",+++++,32,9,0,0,4,6,,5月6日,Ohtani,MIAMIA,W,3,2,0,0,1,2,1,0,1,2,0,2指,中本,見振,右安,四球,,,
38,"Tuesday, May 7",5月7日,LAD,Miami MarlinsMIAW,マーリンズ,W,8,2,,up 6.5,Yamamoto,Cabrera,,2:11,"51,496",++++++,27,5,1,0,2,7,,5月7日,Ohtani,MIAMIA,W,2,0,0,0,0,0,2,0,0,0,0,2指,四球,四球,右直,左飛,,,
39,"Wednesday, May 8",5月8日,LAD,Miami MarlinsMIAW,マーリンズ,W,3,1,,up 6.5,Stone,Weathers,Hudson,1:55,"40,702",+++++++,28,6,1,0,1,3,,5月8日,Ohtani,MIAMIA,W,4,0,0,0,0,0,0,0,2,0,0,2指,三振,空振,左直,左飛,,,
40,"Friday, May 10",5月10日,LAD,San Diego Padres@SDL,パドレス,L-wo,1,2,,up 5.5,Suarez,Grove,,2:12,"43,388",-,30,4,1,0,0,1,,5月10日,Ohtani,SDPSDP,L,4,2,1,0,0,0,0,0,1,0,0,2指,空振,左安,一ゴ,左2,,,
41,"Saturday, May 11",5月11日,LAD,San Diego Padres@SDW,パドレス,W,5,0,,up 6.5,Paxton,Waldron,,2:36,"46,701",+,32,5,1,0,2,5,,5月11日,Ohtani,SDPSDP,W,3,0,0,0,0,0,1,0,0,0,0,2指,左飛,左飛,四球,投ゴ,,,
42,"Sunday, May 12",5月12日,LAD,San Diego Padres@SDL,,L,0,4,,up 5.5,Darvish,Buehler,,2:35,"43,881",-,32,4,1,0,0,0,,5月12日,Ohtani,,,,,,,,,,,,,,,,,,,,,
43,"Monday, May 13",5月13日,LAD,San Francisco Giants@SFW,ジャイアンツ,W,6,4,10,up 6.5,Treinen,Rogers,Feyereisen,2:55,"35,033",+,40,11,3,0,2,6,,5月13日,Ohtani,SFGSFG,W,5,2,0,0,0,1,0,0,2,1,0,2指,右安,ニゴ,二安,空振,空振,,
