試合数,日付,対戦相手,W/L,打席数,ヒット,2塁打,３塁打,ホームラン,打点,四球,デッドボール,三振,盗塁,盗塁失敗,打順,第1,第2,第3,第4,第5,第6,第7
96,7月13日,タイガース,L,4,2,0,1,1,2,2,0,1,1,0,1指,右3,空振,右本,ニゴ,四球,敬遠,該当なし
97,7月14日,タイガース,L,4,2,0,0,0,0,0,0,0,0,1,1指,中直,右直,遊安,右安,該当なし,該当なし,該当なし
106,7月27日,アストロズ,L,3,2,0,0,1,2,2,0,0,1,0,1指,左飛,右本,四球,左安,四球,該当なし,該当なし
108,7月30日,パドレス,L,4,0,0,0,0,0,1,0,2,1,0,1指,四球,中飛,空振,右直,三振,該当なし,該当なし
1,3月20日,パドレス,W,5,2,0,0,0,1,0,0,0,1,0,2指,遊ゴ,右安,三ゴ,投ゴ,左安,該当なし,該当なし
3,3月28日,カージナルス,W,3,2,1,0,0,0,1,0,1,0,0,2指,右二,四球,右安,空振,該当なし,該当なし,該当なし
4,3月29日,カージナルス,W,4,0,0,0,0,0,0,0,1,0,0,2指,二直,左飛,二併,空振,該当なし,該当なし,該当なし
6,3月31日,カージナルス,W,4,1,1,0,0,0,0,0,2,0,0,2指,三振,空振,右2,投ゴ,該当なし,該当なし,該当なし
7,4月1日,ジャイアンツ,W,4,1,1,0,0,1,0,0,1,0,0,2指,二ゴ,右2,左飛,空振,該当なし,該当なし,該当なし
8,4月2日,ジャイアンツ,W,3,0,0,0,0,0,1,0,1,0,0,2指,三振,中飛,四球,ニゴ,該当なし,該当なし,該当なし
9,4月3日,ジャイアンツ,W,4,2,0,0,1,1,0,0,1,0,0,2指,空振,一安,左直,右本,該当なし,該当なし,該当なし
11,4月6日,カブス,W,4,2,0,0,0,0,1,0,1,0,0,2指,右安,中飛,左安,四球,空振,該当なし,該当なし
13,4月8日,ツインズ,W,5,3,2,0,1,1,0,0,1,0,0,2指,中2,中直,左2,左本,三振,該当なし,該当なし
14,4月9日,ツインズ,W,5,1,1,0,0,0,0,0,2,0,0,2指,三振,右2,左飛,空振,ニゴ,該当なし,該当なし
